City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Vostok,RU,2021-02-04 00:04:35,46.4856,135.8833,-19.68,87,100,4.85
67,Te Anau,NZ,2021-02-04 00:01:29,-45.4167,167.7167,61.18,49,38,0.96
68,Nioro,GM,2021-02-04 00:04:36,13.35,-15.75,72.12,27,95,4.03
69,Barrow,US,2021-02-04 00:04:36,71.2906,-156.7887,-27.4,68,1,13.8
70,Borodino,RU,2021-02-04 00:04:36,55.9106,94.8983,17.74,94,93,13.87
71,Talara,PE,2021-02-04 00:01:32,-4.5772,-81.2719,77.0,69,0,13.8
72,Klaksvik,FO,2021-02-04 00:02:01,62.2266,-6.589,32.0,100,47,19.57
73,Saskylakh,RU,2021-02-04 00:04:36,71.9167,114.0833,-36.17,78,38,7.36
74,Tres Arroyos,AR,2021-02-04 00:04:36,-38.3739,-60.2798,62.28,67,39,9.17
75,Dvinskoy,RU,2021-02-04 00:04:37,62.1535,45.1175,15.57,96,100,8.23
76,Tuban,ID,2021-02-04 00:04:38,-6.8976,112.0649,77.41,88,96,11.56
77,Leningradskiy,RU,2021-02-03 23:59:55,69.3833,178.4167,-24.81,85,64,9.24
78,Anori,BR,2021-02-04 00:04:38,-3.7728,-61.6442,77.25,90,95,1.23
79,Kaitangata,NZ,2021-02-04 00:04:38,-46.2817,169.8464,55.99,61,55,8.99
80,Mar Del Plata,AR,2021-02-04 00:02:18,-38.0023,-57.5575,66.99,82,20,18.41
81,Cabo San Lucas,MX,2021-02-03 23:59:46,22.8909,-109.9124,80.6,36,20,4.61
82,Nanakuli,US,2021-02-04 00:04:39,21.3906,-158.1547,73.4,73,75,14.97
83,Tiksi,RU,2021-02-04 00:04:39,71.6872,128.8694,-25.8,84,52,2.35
84,Vaitape,PF,2021-02-04 00:04:39,-16.5167,-151.75,81.59,70,15,9.24
85,Busselton,AU,2021-02-04 00:04:09,-33.65,115.3333,60.01,72,0,1.01
86,Torbay,CA,2021-02-04 00:04:40,47.6666,-52.7314,48.2,100,90,17.27
87,Kampene,CD,2021-02-04 00:04:40,-3.6,26.6667,68.99,97,93,1.21
88,New Norfolk,AU,2021-02-04 00:04:40,-42.7826,147.0587,63.0,91,90,1.28
89,Mount Gambier,AU,2021-02-04 00:04:41,-37.8333,140.7667,68.0,60,93,10.36
90,Santa Vitoria Do Palmar,BR,2021-02-04 00:00:20,-33.5189,-53.3681,69.44,91,100,20.85
